Time: ISBN: Retail-Price: Lowest-Used-Price: Lowest-New-Price: Sales-Rank 
2016/03/06:09:37:29 1137327537 2159 1733 2015 68711
2016/03/06:10:29:54 1137327537 2159 1788 2015 68975
2016/03/06:11:25:05 1137327537 2159 1788 2015 68975
2016/03/06:13:31:34 1137327537 2159 1788 2015 69270
2016/03/06:14:26:00 1137327537 2159 1788 2015 69270
2016/03/06:14:41:02 1137327537 2159 1788 2015 69440
2016/03/06:15:48:37 1137327537 2159 1788 2015 70282
2016/03/06:16:31:47 1137327537 2159 1788 2015 70282
2016/03/06:17:46:12 1137327537 2159 1754 2015 75773
2016/03/06:20:43:29 1137327537 2159 1754 2015 74580
2016/03/06:22:28:38 1137327537 2159 1754 2015 85586
2016/03/06:22:52:29 1137327537 2159 1754 2015 85617
2016/03/06:23:04:10 1137327537 2159 1754 2015 85617
2016/03/07:07:33:24 1137327537 2159 1733 2015 124455
2016/03/07:09:24:04 1137327537 2159 1788 2015 125274
2016/03/07:10:48:15 1137327537 2159 1788 2015 125275
2016/03/07:11:26:41 1137327537 2159 1788 2015 125905
2016/03/07:12:30:54 1137327537 2159 1788 2015 131060
2016/03/07:13:56:46 1137327537 2159 1788 2015 133475
2016/03/07:15:25:59 1137327537 2159 1788 2015 133475
2016/03/07:16:15:35 1137327537 2159 1788 2015 138675
2016/03/07:16:53:03 1137327537 2159 1788 2015 138950
2016/03/07:19:05:34 1137327537 2159 1788 2015 138575
2016/03/07:22:37:23 1137327537 2159 1754 2015 156987
2016/03/07:23:44:30 1137327537 2159 1754 2015 157254
2016/03/08:07:38:45 1137327537 2159 1788 2015 182787
2016/03/08:09:01:24 1137327537 2159 1788 2015 182201
2016/03/08:11:51:47 1137327537 2159 1788 2015 42779
2016/03/08:13:08:55 1137327537 2159 1788 2015 42779
2016/03/08:14:36:26 1137327537 2159 1788 2015 47330
2016/03/08:17:11:41 1137327537 2159 1788 2015 56655
2016/03/08:19:38:50 1137327537 2159 1754 2015 62212
2016/03/09:07:43:08 1137327537 2159 1733 2015 68241
2016/03/09:09:53:30 1137327537 2159 1787 2015 66668
2016/03/09:10:49:01 1137327537 2159 1787 2015 70751
2016/03/09:14:58:54 1137327537 2159 1786 2015 71477
2016/03/09:15:49:55 1137327537 2159 1786 2015 71506
2016/03/09:18:38:05 1137327537 2159 1766 2015 76740
2016/03/09:19:55:38 1137327537 2159 1766 2015 76831
2016/03/09:20:23:24 1137327537 2159 1766 2015 91031
2016/03/09:21:12:12 1137327537 2159 1766 2015 91031
2016/03/09:22:29:05 1137327537 2159 1754 2015 91103
2016/03/09:22:41:00 1137327537 2159 1754 2015 91103
2016/03/09:23:21:05 1137327537 2159 1754 2015 90760
2016/03/09:23:42:17 1137327537 2159 1754 2015 90760
2016/03/10:05:00:00 1137327537 2159 1754 2015 21521
2016/03/10:07:47:01 1137327537 2159 1766 2015 22195
2016/03/10:09:33:26 1137327537 2159 1766 2015 26319
2016/03/10:10:40:39 1137327537 2159 1766 2015 26319
2016/03/10:11:03:24 1137327537 2159 1766 2015 27346
2016/03/10:11:54:08 1137327537 2159 1787 2015 27346
2016/03/10:12:21:57 1137327537 2159 1787 2015 27345
2016/03/10:13:47:13 1137327537 2159 1786 2015 28093
2016/03/10:14:00:23 1137327537 2159 1786 2015 28093
